,State/UT,Date,Latitude,Longitude,Confirmed,Active,Deaths,Mortality rate,Cured,Recovery rate,New cases
0,Andaman and Nicobar Islands,2020-05-26,11.7401,92.6586,33,0,0,0.0,33,1.0,0.0
1,Andhra Pradesh,2020-05-26,15.9129,79.74,3110,1158,56,0.0180064308681672,1896,0.6096463022508039,287.0
2,Arunachal Pradesh,2020-05-26,28.218000000000004,94.7278,2,1,0,0.0,1,0.5,1.0
3,Assam,2020-05-26,26.2006,92.9376,526,460,4,0.0076045627376425855,62,0.11787072243346007,148.0
4,Bihar,2020-05-26,25.0961,85.3131,2730,1968,13,0.004761904761904762,749,0.2743589743589744,143.0
5,Chandigarh,2020-05-26,30.7333,76.7794,238,49,3,0.012605042016806723,186,0.7815126050420168,0.0
6,Chhattisgarh,2020-05-26,21.2787,81.8661,291,219,0,0.0,72,0.24742268041237114,39.0
7,Dadar Nagar Haveli,2020-05-26,20.1809,73.0169,2,2,0,0.0,0,0.0,0.0
8,Delhi,2020-05-26,28.7041,77.1025,14053,7006,276,0.019639934533551555,6771,0.48181882871984627,635.0
9,Goa,2020-05-26,15.2993,74.124,67,48,0,0.0,19,0.2835820895522388,1.0
10,Gujarat,2020-05-26,22.2587,71.1924,14460,6936,888,0.061410788381742736,6636,0.4589211618257261,404.0
11,Haryana,2020-05-26,29.0588,76.0856,1184,403,16,0.013513513513513514,765,0.6461148648648649,0.0
12,Himachal Pradesh,2020-05-26,31.1048,77.1734,223,151,5,0.02242152466367713,67,0.3004484304932735,20.0
13,Jammu and Kashmir,2020-05-26,33.7782,76.5762,1668,836,23,0.013788968824940047,809,0.48501199040767384,47.0
14,Jharkhand,2020-05-26,23.6102,85.2799,377,225,4,0.010610079575596816,148,0.3925729442970822,7.0
15,Karnataka,2020-05-26,15.3173,75.7139,2182,1433,44,0.02016498625114574,705,0.3230980751604033,93.0
16,Kerala,2020-05-26,10.8505,76.2711,896,359,5,0.005580357142857143,532,0.59375,49.0
17,Ladakh,2020-05-26,34.2996,78.2932,52,9,0,0.0,43,0.8269230769230769,0.0
18,Madhya Pradesh,2020-05-26,22.9734,78.6569,6859,2988,300,0.04373815424989065,3571,0.5206298294211984,194.0
19,Maharashtra,2020-05-26,19.7515,75.7139,52667,35186,1695,0.03218334061176828,15786,0.2997322801754419,2436.0
20,Manipur,2020-05-26,24.6637,93.9063,39,35,0,0.0,4,0.10256410256410256,7.0
21,Meghalaya,2020-05-26,25.467,91.3662,14,1,1,0.07142857142857142,12,0.8571428571428571,0.0
22,Mizoram,2020-05-26,23.1645,92.9376,1,0,0,0.0,1,1.0,0.0
23,Nagaland,2020-05-26,26.1584,94.5624,3,3,0,0.0,0,0.0,1.0
24,Odisha,2020-05-26,20.9517,85.0985,1438,782,7,0.004867872044506259,649,0.4513212795549374,102.0
25,Puducherry,2020-05-26,11.9416,79.8083,41,29,0,0.0,12,0.2926829268292683,0.0
26,Punjab,2020-05-26,31.1471,75.3412,2060,122,40,0.019417475728155338,1898,0.9213592233009709,0.0
27,Rajasthan,2020-05-26,27.0238,74.2179,7300,3182,167,0.02287671232876712,3951,0.5412328767123288,272.0
28,Sikkim,2020-05-26,27.533,88.5122,1,1,0,0.0,0,0.0,0.0
29,Tamil Nadu,2020-05-26,11.1271,78.6569,17082,8233,118,0.006907856222924716,8731,0.5111228193419974,805.0
30,Telengana,2020-05-26,18.1124,79.0193,1920,700,56,0.029166666666666667,1164,0.60625,66.0
31,Tripura,2020-05-26,23.9408,91.9882,194,29,0,0.0,165,0.8505154639175257,3.0
32,Uttar Pradesh,2020-05-26,26.8467,80.9462,6532,2786,165,0.02526025719534599,3581,0.5482241273729332,264.0
33,Uttarakhand,2020-05-26,30.0668,79.0193,349,288,3,0.008595988538681949,58,0.166189111747851,32.0
34,West Bengal,2020-05-26,22.9868,87.855,3816,2124,278,0.07285115303983228,1414,0.37054507337526205,149.0
